date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,Rhinos Rage,90.180361,69,0.49,4.99,433210,0.8,
12/8/25,ReSizE,90.180361,58,0.49,4.99,634150,0.8,
12/8/25,Space Force,90.180361,52,0.49,4.99,864010,0.8,
12/8/25,Astral Traveler,90.180361,48,0.49,4.99,618630,0.8,
12/8/25,Jurassic Fantasy,90.180361,90,0.49,4.99,1342220,0.8,
12/8/25,Panic In The Woods,90.15025,72,0.59,5.99,3036880,1.1,
12/8/25,Zanzarah: The Hidden Portal,90.112641,72,0.79,7.99,384570,3.3,
12/8/25,Super Treasure Arena,90.112641,63,0.79,7.99,338330,0,
12/8/25,KryptCrawler,90.112641,50,0.79,7.99,691590,0,
12/8/25,Alt-Frequencies,90.112641,86,0.79,7.99,1035050,8.5,
12/8/25,Devious Dungeon,90.112641,82,0.79,7.99,1059880,4.2,
12/8/25,PictoQuest,90.112641,82,0.79,7.99,1014040,4.6,
12/8/25,Arabel,90.112641,90,0.79,7.99,1367250,0.6,
12/8/25,TRIOS - lofi beats / numbers to chill to,90.112641,95,0.79,7.99,1214060,0.2,
12/8/25,Brinefall,90.112641,41,0.79,7.99,1716600,0.7,
12/8/25,Subterraneus,90.112641,100,0.79,7.99,854120,0.6,
12/8/25,Hitman 2: Silent Assassin,90.100111,78,0.89,8.99,6850,8.3,
12/8/25,Fairspace,90.100111,63,0.89,8.99,321350,0.2,
12/8/25,Viking Rage,90.100111,60,0.89,8.99,589150,0,
12/8/25,Grotesque Tactics 2  Dungeons and Donuts,90.09009,51,0.99,9.99,46570,6.8,
12/8/25,Hitman: Blood Money,90.09009,94,0.99,9.99,6860,7.9,
12/8/25,Hamilton's Great Adventure,90.09009,70,0.99,9.99,42140,7.7,
12/8/25,Zombie Pirates,90.09009,66,0.99,9.99,46850,0.7,
12/8/25,Grotesque Tactics: Evil Heroes,90.09009,60,0.99,9.99,46450,7.2,
12/8/25,Lead and Gold: Gangs of the Wild West,90.09009,70,0.99,9.99,42120,7.2,
12/8/25,Deponia,90.09009,77,0.99,9.99,214340,7.6,
12/8/25,A New Beginning - Final Cut,90.09009,74,0.99,9.99,105000,7.5,
12/8/25,Bridge Constructor,90.09009,77,0.99,9.99,250460,3.3,
12/8/25,Truck Racer,90.09009,80,0.99,9.99,256070,4.6,
12/8/25,WRC 4 FIA World Rally Championship,90.09009,77,0.99,9.99,256330,8.5,
12/8/25,Blackguards,90.09009,58,0.99,9.99,249650,7.3,
12/8/25,Turbo Dismount,90.09009,93,0.99,9.99,263760,4.2,
12/8/25,Holy Avatar vs Maidens of the Dead,90.09009,58,0.99,9.99,261720,3.3,
12/8/25,1954 Alcatraz,90.09009,72,0.99,9.99,255280,7,
12/8/25,Braveland,90.09009,80,0.99,9.99,285800,4.2,
12/8/25,IHF Handball Challenge 14,90.09009,48,0.99,9.99,279460,0.6,
12/8/25,Shiny the Firefly,90.09009,76,0.99,9.99,277510,0,
12/8/25,Freaking Meatbags,90.09009,83,0.99,9.99,297060,4.6,
12/8/25,Bridge Constructor Playground,90.09009,74,0.99,9.99,279990,3.3,
12/8/25,Brink of Consciousness: Dorian Gray Syndrome Collector's Edition,90.09009,87,0.99,9.99,302130,4.6,
12/8/25,Bridge Constructor Medieval,90.09009,81,0.99,9.99,319850,3.3,
12/8/25,Brink of Consciousness: The Lonely Hearts Murders,90.09009,84,0.99,9.99,327370,0.6,
12/8/25,Motorcycle Club,90.09009,32,0.99,9.99,303830,0.6,
12/8/25,Skilltree Saga,90.09009,37,0.99,9.99,315320,0,
12/8/25,Blackguards 2,90.09009,64,0.99,9.99,314830,7.6,
12/8/25,Fahrenheit: Indigo Prophecy Remastered,90.09009,74,0.99,9.99,312840,7.9,
12/8/25,Pixel Heroes - Byte and Magic,90.09009,78,0.99,9.99,338320,3.3,
12/8/25,Trapped Dead: Lockdown,90.09009,59,0.99,9.99,305500,0,
12/8/25,Dead Synchronicity: Tomorrow Comes Today,90.09009,82,0.99,9.99,339190,7.4,
12/8/25,Luna's Wandering Stars,90.09009,82,0.99,9.99,330660,0,
12/8/25,Zombie Party,90.09009,77,0.99,9.99,384500,4.7,
12/8/25,Holy Potatoes! A Weapon Shop?!,90.09009,71,0.99,9.99,363600,7.4,
12/8/25,Colonial Conquest,90.09009,60,0.99,9.99,341030,4.6,
12/8/25,Bounty Train,90.09009,70,0.99,9.99,371520,7.2,
12/8/25,A Fistful of Gun,90.09009,59,0.99,9.99,229810,8.3,
12/8/25,SKYHILL,90.09009,69,0.99,9.99,382140,8.3,
12/8/25,Master Spy,90.09009,77,0.99,9.99,331190,8.2,
12/8/25,WRC 5 FIA World Rally Championship,90.09009,71,0.99,9.99,354160,4.6,
12/8/25,Raining Blobs,90.09009,94,0.99,9.99,414370,0.6,
12/8/25,Bridge Constructor Stunts,90.09009,56,0.99,9.99,419080,0,
12/8/25,Race.a.bit,90.09009,72,0.99,9.99,336030,0,
12/8/25,Four Sided Fantasy,90.09009,79,0.99,9.99,337490,3.7,
12/8/25,Containment Initiative,90.09009,90,0.99,9.99,527700,4.5,
12/8/25,Crazy Machines 3,90.09009,93,0.99,9.99,351920,7.6,
12/8/25,Holy Potatoes! Were in Space?!,90.09009,71,0.99,9.99,505730,7.2,
12/8/25,Mahjong,90.09009,84,0.99,9.99,539270,5.2,
12/8/25,Wars Across The World,90.09009,80,0.99,9.99,341040,4.6,
12/8/25,Out There Somewhere,90.09009,91,0.99,9.99,263980,4.3,
12/8/25,The Long Journey Home,90.09009,57,0.99,9.99,366910,7.3,
12/8/25,BAFL - Brakes Are For Losers,90.09009,78,0.99,9.99,573070,0.6,
12/8/25,Bridge Constructor Portal,90.09009,90,0.99,9.99,684410,7.7,
12/8/25,Miniballist,90.09009,78,0.99,9.99,628580,0.9,
12/8/25,Ghostly Matter,90.09009,62,0.99,9.99,800240,0.6,
12/8/25,Conga Master,90.09009,92,0.99,9.99,489720,0,
12/8/25,Holy Potatoes! A Spy Story?!,90.09009,64,0.99,9.99,830590,3.3,
12/8/25,2084,90.09009,57,0.99,9.99,987850,0.6,
12/8/25,ReThink  Evolved 3,90.09009,96,0.99,9.99,1065460,0.2,
12/8/25,Felix The Reaper,90.09009,80,0.99,9.99,919410,7.4,
12/8/25,The 7th Circle - Endless Nightmare,90.09009,79,0.99,9.99,832710,0.7,
12/8/25,Mad Tracks,90.09009,89,0.99,9.99,1202970,4.6,
12/8/25,Piczle Cross Adventure,90.09009,94,0.99,9.99,1215320,4.6,
12/8/25,Bridge Constructor The Walking Dead,90.09009,69,0.99,9.99,1336120,7.5,
12/8/25,The Fabled Woods,90.09009,65,0.99,9.99,1299480,6.9,
12/8/25,Fire: Unghs Quest,90.09009,86,0.99,9.99,325520,7.2,
